Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
25270,11/1/2017,Trash - Backdoor,"house with the wheel chair ramp, they share driveway, in back driveway. 3817 Crouch Dr near NES light post is. 
615-876-6274",3817 Crouch Dr,37207,RED RIVER,3205,2,1727970.412,686779.4781
25317,11/1/2017,Trash Collection Complaint,left trash cart in middle of driveway instead of at the backdoor pickup spot,3602 floral dr,37211,RED RIVER,4304,16,1751660.164,643215.2011
25325,11/1/2017,Damage to Property,"Trash/emptied Wednesday & now metal black-mailbox damage. 
customer wants call back and fix and replace.",4721 Chalmers Dr,37215,RED RIVER,3303,34,1726300.965,637078.4022
25366,11/1/2017,Trash Collection Complaint,"trash truck took cart 
3 guys on truck did not have truck number 
please call (615) 569-4994",2200 osage st,37208,METRO,9201,21,1728644.757,672074.0991
25393,11/1/2017,Trash Collection Complaint,trash carts all tossed in road after pick up,2720 riverbend dr,37214,RED RIVER,1501,15,1762455.924,693225.6657
25465,11/1/2017,Trash Collection Complaint,A resident is complaining that a trash truck ran a red light through a school zone at Davidson Academy. The truck number is 4887AH.,1414 Old Hickory Blvd,37207,,,3,1738736.963,711231.7998
25743,11/2/2017,Trash Collection Complaint,"Resident is very upset- Red River emptied only one of the 2 brown carts he had out, truck driver clamps both together all the time, he needs to do one at the time.",732 Ridgeview Ct,37013,RED RIVER,4403,31,1759010.565,619983.2015
25866,11/3/2017,Trash Collection Complaint,"caller upset states trash never runs that early, alley. Trash/cart full and wants cart emptied. UNIT-A",1112 Joseph Ave A,37207,METRO,9207,5,1740730.565,677098.4003
25882,11/3/2017,Trash Collection Complaint,"not putting carts back where they got them lids left open carts on ground ...2 complaint see ticket CW 904806 
615-975-1015 please call",1800 fatherland st,37206,METRO,9508,6,1750536.965,670416.8018
25937,11/3/2017,Trash - Backdoor,Has been in the hospital and waiver expired.,4225 Eatons Creek Rd,37218,RED RIVER,3203,1,1713335.366,685777.599
25980,11/3/2017,Trash Collection Complaint,"While cleaning the alley behind 1619 Heiman St, someone from the crew had a weed trimmer and cut some pine cypress trees that the customer was growing",1619 HEIMAN ST,37208,,,21,1730987.851,670217.5646
25988,11/3/2017,Trash - Curbside/Alley Missed Pickup,"customer had 2 trash carts, but only one of them was emptied",3913 Tea Garden Way,37013,RED RIVER,3504,33,1787799.27,631948.8964
26012,11/3/2017,Trash Collection Complaint,"While cleaning the alley behind 1619 Heiman St, someone from the crew had a weed trimmer and cut some pine cypress trees that the customer was growing",1619 HEIMAN ST,37208,RED RIVER,3206,21,1730987.851,670217.5646
26029,11/3/2017,Trash Collection Complaint,Says that the crew always leaves the cart in the middle of the road this time they left it in front of the mailbox and the mailman is unable to leave his mail. Would appreciate it if we put the cart back where he leaves it. Called about this last week and they did the exact same thing this week.,2127 Burns St,37216,METRO,9505,7,1753328.164,679267.8003
26058,11/5/2017,Trash - Curbside/Alley Missed Pickup,did not see or hear truck on Friday,216 Gentry Ave,37206,METRO,9503,6,1752367.766,674908.1205
26106,11/5/2017,Trash - Backdoor,"I have behind the house pickup.  It has been about a month since the last pickup.  This has been going on all year.  I've called many times.   The staff is always nice, they usually tell they will take care of it but seldom does anyone come out.  Both of my containers are full and I live alone.",1007 Draughon Ave,37204,RED RIVER,4305,25,1735588.967,647555.0022
26355,11/6/2017,Trash Collection Complaint,paid back door pick  - does not need extra pick up - but wants you to remember this week to pick up on Wednesday,732 greeley dr,37205,RED RIVER,1305,23,1708630.567,652660.0012
26694,11/7/2017,Trash Collection Complaint,Trash cart is being left in middle of drive way and at times in the ditch and turn over. She's disable and not able to get out and pickup. Please talk to driver.,571 Stevenson St,37209,RED RIVER,4203,20,1712803.984,664734.5634
26971,11/8/2017,Damage to Property,truck is cutting into yard and damaging lawn,717 garrison dr,37207,RED RIVER,3205,2,1727317.062,688538.0878
27298,11/9/2017,Trash - Backdoor,Backdoor,705 Yoest Cir,37013,RED RIVER,4404,31,1764643.956,625321.0093
27391,11/13/2017,Trash Collection Complaint,"The photo attached is only an example of numerous places where small 1yard diameter puddles of glass are left after trash collection days.I have forwarded numerous examples of this happening over the past year to Pubic Works and our Council Member (district 6), but the problem continues.Is it possible for employees of the trucks, upon seeing that they are leaving behind dangerous debris in the right of way, simply sweep this? As it has been explained that this occurs when the equipment malfunctions.The glass debris frequently in the roadway is both litter and creates unsafe driving conditions for various users of the road.",410 S 15th St,37206,METRO,9508,6,1748631.045,669699.5751
27615,11/13/2017,Trash Collection Complaint,"Trash/cart damage, due to trash/truck that slams cart down really hard now cart has big crack/split on the body of cart, lid is damage hinges broken. Driver of truck needs to be more careful when picking up carts. Also place cart back where they pickup, not leaving them in the street.",3807 Richland Ave,37205,METRO,9307,24,1722800.292,656261.3871
